Configuration:
Stream Type,Stream Name,Format,FPS,Width,Height
Infrared 1,Infrared,Y8,30,640,480
Infrared 2,Infrared,Y8,30,640,480
Depth,Depth,Z16,30,640,480
Color,Color,RGB8,30,640,480


Stream Type,Index,F#,HW Timestamp (ms),Host Timestamp(ms)
Color,0,47,1664229450046.651,2023.095
Color,0,48,1664229450079.228,2057.158
Color,0,49,1664229450111.726,2086.738
Color,0,50,1664229450144.144,2120.175
Color,0,51,1664229450176.483,2153.664
Color,0,52,1664229450208.743,2185.246
Color,0,53,1664229450240.923,2218.458
Color,0,54,1664229450273.025,2251.816
Color,0,55,1664229450305.047,2285.205
Color,0,56,1664229450336.990,2318.504
Color,0,57,1664229450368.854,2351.865
Color,0,58,1664229450400.638,2385.310
Color,0,59,1664229450432.343,2418.667
Color,0,60,1664229450463.969,2452.060
Color,0,61,1664229450495.516,2485.331
Color,0,62,1664229450526.984,2518.710
Color,0,63,1664229450558.372,2552.076
Color,0,64,1664229450589.681,2585.391
Color,0,65,1664229450620.911,2618.738
Color,0,66,1664229450652.062,2652.174
Color,0,67,1664229450683.134,2685.414
Color,0,68,1664229450714.126,2718.934
Color,0,69,1664229450745.110,2752.233
Color,0,70,1664229450778.440,2785.549
Color,0,71,1664229450811.753,2818.857
Color,0,72,1664229450845.051,2852.291
Color,0,73,1664229450878.333,2885.531
Color,0,74,1664229450911.598,2919.109
Color,0,75,1664229450944.848,2952.445
Color,0,76,1664229450978.082,2985.723
Color,0,77,1664229451011.299,3019.036
Color,0,78,1664229451044.500,3052.426
Color,0,79,1664229451077.686,3085.737
Color,0,80,1664229451110.856,3119.118
Color,0,81,1664229451144.009,3152.484
Color,0,82,1664229451177.146,3185.847
Color,0,83,1664229451210.268,3219.108
Color,0,84,1664229451243.373,3252.573
Color,0,85,1664229451276.463,3285.884
Color,0,86,1664229451309.536,3319.247
Color,0,87,1664229451342.593,3352.596
Color,0,88,1664229451375.635,3385.950
Color,0,89,1664229451408.660,3427.685
Color,0,90,1664229451441.669,3452.933
Color,0,91,1664229451474.662,3486.252
Color,0,92,1664229451507.639,3519.449
Color,0,93,1664229451540.601,3552.848
Color,0,94,1664229451573.546,3586.163
Color,0,95,1664229451606.475,3619.390
Color,0,96,1664229451639.388,3652.919
Color,0,97,1664229451672.285,3686.158
Color,0,98,1664229451705.166,3719.571
Color,0,99,1664229451738.049,3752.876

Stream Type,Index,F#,HW Timestamp (ms),Host Timestamp(ms)

Infrared,1,0,1664229448037.616,77.988
Infrared,1,1,1664229448073.312,109.496
Infrared,1,2,1664229448110.128,142.757
Infrared,1,3,1664229448148.063,175.759
Infrared,1,4,1664229448187.118,209.219
Infrared,1,5,1664229448227.294,242.830
Infrared,1,6,1664229448265.934,276.148
Infrared,1,7,1664229448305.066,309.553
Infrared,1,8,1664229448344.689,341.797
Infrared,1,9,1664229448382.350,375.139
Infrared,1,0,1664229448620.325,592.894
Infrared,1,1,1664229448656.360,627.094
Infrared,1,2,1664229448692.111,659.545
Infrared,1,3,1664229448727.700,692.665
Infrared,1,4,1664229448763.126,726.295
Infrared,1,5,1664229448798.362,759.637
Infrared,1,6,1664229448833.430,792.969
Infrared,1,7,1664229448868.331,826.369
Infrared,1,8,1664229448903.112,859.666
Infrared,1,9,1664229448937.727,893.228
Infrared,1,10,1664229448972.178,926.495
Infrared,1,11,1664229449006.567,959.775
Infrared,1,12,1664229449040.799,993.222
Infrared,1,13,1664229449074.873,1026.219
Infrared,1,14,1664229449108.789,1059.523
Infrared,1,15,1664229449142.549,1093.018
Infrared,1,16,1664229449176.150,1126.343
Infrared,1,17,1664229449210.263,1159.691
Infrared,1,18,1664229449244.266,1193.133
Infrared,1,19,1664229449278.159,1226.394
Infrared,1,20,1664229449311.942,1259.491
Infrared,1,21,1664229449345.614,1293.177
Infrared,1,22,1664229449379.176,1326.440
Infrared,1,23,1664229449413.128,1359.742
Infrared,1,24,1664229449446.999,1393.190
Infrared,1,25,1664229449480.789,1426.571
Infrared,1,26,1664229449514.496,1460.069
Infrared,1,27,1664229449548.122,1493.160
Infrared,1,28,1664229449581.667,1526.757
Infrared,1,29,1664229449615.502,1559.705
Infrared,1,30,1664229449649.274,1593.212
Infrared,1,31,1664229449682.982,1626.595
Infrared,1,32,1664229449716.453,1661.328
Infrared,1,33,1664229449749.848,1694.727
Infrared,1,34,1664229449783.167,1728.160
Infrared,1,35,1664229449816.378,1761.307
Infrared,1,36,1664229449849.510,1794.844
Infrared,1,37,1664229449882.562,1827.271
Infrared,1,38,1664229449915.534,1861.529
Infrared,1,39,1664229449948.428,1894.908
Infrared,1,40,1664229449981.242,1928.861
Infrared,1,41,1664229450013.978,1962.229
Infrared,1,42,1664229450046.634,1997.814
Infrared,1,43,1664229450079.210,2028.775
Infrared,1,44,1664229450111.708,2062.352
Infrared,1,45,1664229450144.126,2094.037
Infrared,1,46,1664229450176.465,2127.390
Infrared,1,47,1664229450208.725,2160.882
Infrared,1,48,1664229450240.906,2194.017
Infrared,1,49,1664229450273.007,2227.276
Infrared,1,50,1664229450305.030,2260.715
Infrared,1,51,1664229450336.973,2294.099
Infrared,1,52,1664229450368.836,2327.187
Infrared,1,53,1664229450400.621,2360.841
Infrared,1,54,1664229450432.326,2394.171
Infrared,1,55,1664229450463.952,2427.455
Infrared,1,56,1664229450495.499,2460.828
Infrared,1,57,1664229450526.967,2494.249
Infrared,1,58,1664229450558.355,2527.516
Infrared,1,59,1664229450589.665,2560.905
Infrared,1,60,1664229450620.895,2594.301
Infrared,1,61,1664229450652.045,2626.738
Infrared,1,62,1664229450683.117,2660.276
Infrared,1,63,1664229450714.109,2694.422
Infrared,1,64,1664229450745.092,2727.674
Infrared,1,65,1664229450778.422,2761.088
Infrared,1,66,1664229450811.735,2794.557
Infrared,1,67,1664229450845.033,2827.798
Infrared,1,68,1664229450878.315,2861.161
Infrared,1,69,1664229450911.580,2894.611
Infrared,1,70,1664229450944.830,2927.798
Infrared,1,71,1664229450978.064,2961.250
Infrared,1,72,1664229451011.281,2994.649
Infrared,1,73,1664229451044.483,3028.030
Infrared,1,74,1664229451077.668,3061.347
Infrared,1,75,1664229451110.838,3094.745
Infrared,1,76,1664229451143.991,3127.665
Infrared,1,77,1664229451177.129,3161.177
Infrared,1,78,1664229451210.250,3194.376
Infrared,1,79,1664229451243.355,3227.628
Infrared,1,80,1664229451276.445,3261.180
Infrared,1,81,1664229451309.518,3294.692
Infrared,1,82,1664229451342.575,3328.241
Infrared,1,83,1664229451375.617,3361.458
Infrared,1,84,1664229451408.642,3394.777
Infrared,1,85,1664229451441.651,3431.296
Infrared,1,86,1664229451474.645,3461.454
Infrared,1,87,1664229451507.622,3494.753
Infrared,1,88,1664229451540.583,3527.997
Infrared,1,89,1664229451573.528,3561.562

Stream Type,Index,F#,HW Timestamp (ms),Host Timestamp(ms)

Infrared,2,0,1664229448037.616,78.014
Infrared,2,1,1664229448073.312,109.513
Infrared,2,2,1664229448110.128,142.778
Infrared,2,3,1664229448148.063,175.775
Infrared,2,4,1664229448187.118,209.284
Infrared,2,5,1664229448227.294,242.844
Infrared,2,6,1664229448265.934,276.161
Infrared,2,7,1664229448305.066,309.570
Infrared,2,8,1664229448344.689,341.817
Infrared,2,9,1664229448382.350,375.156
Infrared,2,0,1664229448620.325,592.909
Infrared,2,1,1664229448656.360,627.109
Infrared,2,2,1664229448692.111,659.564
Infrared,2,3,1664229448727.700,692.676
Infrared,2,4,1664229448763.126,726.305
Infrared,2,5,1664229448798.362,759.646
Infrared,2,6,1664229448833.430,792.991
Infrared,2,7,1664229448868.331,826.380
Infrared,2,8,1664229448903.112,859.677
Infrared,2,9,1664229448937.727,893.242
Infrared,2,10,1664229448972.178,926.508
Infrared,2,11,1664229449006.567,959.788
Infrared,2,12,1664229449040.799,993.234
Infrared,2,13,1664229449074.873,1026.267
Infrared,2,14,1664229449108.789,1059.572
Infrared,2,15,1664229449142.549,1093.064
Infrared,2,16,1664229449176.150,1126.390
Infrared,2,17,1664229449210.263,1159.735
Infrared,2,18,1664229449244.266,1193.191
Infrared,2,19,1664229449278.159,1226.435
Infrared,2,20,1664229449311.942,1259.536
Infrared,2,21,1664229449345.614,1293.226
Infrared,2,22,1664229449379.176,1326.602
Infrared,2,23,1664229449413.128,1359.786
Infrared,2,24,1664229449446.999,1393.241
Infrared,2,25,1664229449480.789,1426.616
Infrared,2,26,1664229449514.496,1460.079
Infrared,2,27,1664229449548.122,1493.200
Infrared,2,28,1664229449581.667,1526.809
Infrared,2,29,1664229449615.502,1559.753
Infrared,2,30,1664229449649.274,1593.258
Infrared,2,31,1664229449682.982,1626.644
Infrared,2,32,1664229449716.453,1661.340
Infrared,2,33,1664229449749.848,1694.740
Infrared,2,34,1664229449783.167,1728.181
Infrared,2,35,1664229449816.378,1761.325
Infrared,2,36,1664229449849.510,1794.855
Infrared,2,37,1664229449882.562,1827.288
Infrared,2,38,1664229449915.534,1861.546
Infrared,2,39,1664229449948.428,1894.926
Infrared,2,40,1664229449981.242,1928.880
Infrared,2,41,1664229450013.978,1962.245
Infrared,2,42,1664229450046.634,1997.860
Infrared,2,43,1664229450079.210,2028.800
Infrared,2,44,1664229450111.708,2062.377
Infrared,2,45,1664229450144.126,2094.056
Infrared,2,46,1664229450176.465,2127.434
Infrared,2,47,1664229450208.725,2160.901
Infrared,2,48,1664229450240.906,2194.027
Infrared,2,49,1664229450273.007,2227.285
Infrared,2,50,1664229450305.030,2260.725
Infrared,2,51,1664229450336.973,2294.110
Infrared,2,52,1664229450368.836,2327.198
Infrared,2,53,1664229450400.621,2360.850
Infrared,2,54,1664229450432.326,2394.247
Infrared,2,55,1664229450463.952,2427.464
Infrared,2,56,1664229450495.499,2460.838
Infrared,2,57,1664229450526.967,2494.260
Infrared,2,58,1664229450558.355,2527.524
Infrared,2,59,1664229450589.665,2560.916
Infrared,2,60,1664229450620.895,2594.309
Infrared,2,61,1664229450652.045,2626.754
Infrared,2,62,1664229450683.117,2660.331
Infrared,2,63,1664229450714.109,2694.433
Infrared,2,64,1664229450745.092,2727.686
Infrared,2,65,1664229450778.422,2761.099
Infrared,2,66,1664229450811.735,2794.567
Infrared,2,67,1664229450845.033,2827.810
